datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-03-05T16:15:00+00:00,PT15M,Wind Onshore,1.71,5431.17
2025-03-05T16:15:00+00:00,PT15M,Wind Offshore,42.14,5431.17
2025-03-05T16:15:00+00:00,PT15M,Water,286.21,5431.17
2025-03-05T16:15:00+00:00,PT15M,Solar,11.64,5431.17
2025-03-05T16:15:00+00:00,PT15M,Other Fuel,0,5431.17
2025-03-05T16:15:00+00:00,PT15M,Other,361.18,5431.17
2025-03-05T16:15:00+00:00,PT15M,Nuclear,3481.14,5431.17
2025-03-05T16:15:00+00:00,PT15M,Natural Gas,1247.15,5431.17
2025-03-05T16:15:00+00:00,PT15M,Biofuels,0,5431.17
2025-03-05T16:00:00+00:00,PT15M,Wind Onshore,2.12,5135.72
2025-03-05T16:00:00+00:00,PT15M,Wind Offshore,42.91,5135.72
2025-03-05T16:00:00+00:00,PT15M,Water,191.87,5135.72
2025-03-05T16:00:00+00:00,PT15M,Solar,16.29,5135.72
2025-03-05T16:00:00+00:00,PT15M,Other Fuel,0,5135.72
2025-03-05T16:00:00+00:00,PT15M,Other,340.52,5135.72
2025-03-05T16:00:00+00:00,PT15M,Nuclear,3482.29,5135.72
2025-03-05T16:00:00+00:00,PT15M,Natural Gas,1059.72,5135.72
2025-03-05T16:00:00+00:00,PT15M,Biofuels,0,5135.72
2025-03-05T15:45:00+00:00,PT15M,Wind Onshore,2.37,4817.61
2025-03-05T15:45:00+00:00,PT15M,Wind Offshore,39.66,4817.61
2025-03-05T15:45:00+00:00,PT15M,Water,0.63,4817.61
2025-03-05T15:45:00+00:00,PT15M,Solar,21.08,4817.61
2025-03-05T15:45:00+00:00,PT15M,Other Fuel,0,4817.61
2025-03-05T15:45:00+00:00,PT15M,Other,326.1,4817.61
2025-03-05T15:45:00+00:00,PT15M,Nuclear,3481.15,4817.61
2025-03-05T15:45:00+00:00,PT15M,Natural Gas,946.62,4817.61
2025-03-05T15:45:00+00:00,PT15M,Biofuels,0,4817.61
2025-03-05T15:30:00+00:00,PT15M,Wind Onshore,2.52,4671.67
